Full Name,Abbreviation,Index
Alabama,AL,0
Alaska,AK,1
Arizona,AZ,2
Arkansas,AR,3
California,CA,4
Colorado,CO,5
Connecticut,CT,6
Delaware,DE,7
Florida,FL,8
Georgia,GA,9
Hawaii,HI,10
Idaho,ID,11
Illinois,IL,12
Indiana,IN,13
Iowa,IA,14
Kansas,KS,15
Kentucky,KY,16
Louisiana,LA,17
Maine,ME,18
Maryland,MD,19
Massachusetts,MA,20
Michigan,MI,21
Minnesota,MN,22
Mississippi,MS,23
Missouri,MO,24
Montana,MT,25
Nebraska,NE,26
Nevada,NV,27
New Hampshire,NH,28
New Jersey,NJ,29
New Mexico,NM,30
New York,NY,31
North Carolina,NC,32
North Dakota,ND,33
Ohio,OH,34
Oklahoma,OK,35
Oregon,OR,36
Pennsylvania,PA,37
Rhode Island,RI,38
South Carolina,SC,39
South Dakota,SD,40
Tennessee,TN,41
Texas,TX,42
Utah,UT,43
Vermont,VT,44
Virginia,VA,45
Washington,WA,46
West Virginia,WV,47
Wisconsin,WI,48
Wyoming,WY,49
District of Columbia,DC,50
